Date,Notes,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
2023-07-17,Last beamtime was on 2023-Jun-8 ,2.4,2.1,3.2,5.9,3.2,5.5,4.7,4.1,6.1,7.7,7.3,3.6,1.8,5.8,4.1,0.8,3,2.4,2.1,5.3,,,2.3,1.5,0.9
2023-07-19,Last beamtime was on 2023-Jun-8 ,3,3.3,3.4,4.1,6.3,4.8,2.8,8.4,4.7,3.4,3.4,2.6,3.2,4.5,4.4,2.7,1.9,2.9,4.7,3.5,,,2.1,1.8,2.3
2023-07-21,Last beamtime was on 2023-Jun-8 ,1.3,3.2,4.1,3.3,1.7,3.8,3.7,2.7,7.2,3.7,1,3.5,4.3,2.1,1.8,2.1,3.1,0.9,3.1,5.1,,,4.3,1.8,2.7
2023-07-24,Last beamtime was on 2023-Jun-8 ,1,2.9,2.7,6.2,3.6,3.2,6.1,3.2,5.4,3.9,2.7,2.9,4.2,5.4,0.8,0.6,1.7,3.6,3.8,3.3,,,3.4,3.7,2.2
2023-07-26,Last beamtime was on 2023-Jun-8 ,2.8,1.5,5.7,1.7,2.3,3.4,0.4,5.8,2.3,2.4,1.5,4.2,6.1,2.1,2.2,3.7,2.9,4.1,7.8,2,,,1.8,1.2,2.4
2023-07-28,Last beamtime was on 2023-Jul-27. Only dark current.,0.8,3.5,3.4,2.7,3.5,3.4,3.1,0.6,2.7,3.6,1.9,2.1,7.4,2.6,3.7,5,3.3,1.9,0.5,0.2,,,1,2.1,1.3
2023-07-31,Last beamtime was on 2023-Jul-28. Only dark current.,4.5,3.3,1.7,3.9,3.4,4.6,2.6,5.2,5.8,5,6.4,1.2,2.9,6.6,3,3.1,2.1,0.5,3.7,3.1,,,2.7,1.7,2.1
2023-08-02,Last beamtime was on 2023-Aug-1. Photocurrent. ,2.5,2.4,7.1,2.7,5,71.8,4.1,5.3,4.6,8.4,0.9,3.2,3.1,8.9,0.3,0.7,6.5,2.6,5.2,4.2,,,0.2,2.2,3.1
2023-08-03,Last beamtime was on 2023-Aug-2. Photocurrent. ,2.7,1.9,2.3,3.1,6.3,15.1,10.1,4.8,5.6,5,5.3,6.2,7.2,11.2,4.6,6.4,7.2,2.1,2.3,2.7,,,17,22,17.2
2023-08-04,Last beamtime was on 2023-Aug-3. Photocurrent. ,1.8,5,5.9,5.3,4.2,8.3,0.4,1.7,3,5.3,3.2,3.2,3.9,5.3,6.8,3.6,4.6,2.1,3.5,2.9,,,4.1,4.2,3.4
2023-08-04,Last beamtime was on 2023-Aug-4. Photocurrent. ,4.2,4,6.5,2.3,5,83.7,4.8,1.9,5.8,5.1,3.7,2.2,6.8,19.1,9.2,1.4,4.3,11.2,5.1,1.3,,,39.2,29.3,22.7
2023-08-07,Last beamtime was on 2023-Aug-4. Photocurrent. ,5.3,4.7,2.2,2.2,8.7,4.5,3.7,2.4,1.3,5.8,3.8,7.1,3.2,5.8,1.4,0.4,7.3,4.8,3.7,3.7,,,2.8,2.6,2.1
2023-08-24,Last beamtime was on 2023-Aug-4. Photocurrent. ,8.4,7.5,7.1,5.3,,,6.1,7,7.1,8.3,7.7,5.7,7.4,9.1,8.2,5.7,9.6,6.3,6.7,3.4,,,3.7,4.1,3.6
2023-08-28,Last beamtime was on 2023-Aug-4. Photocurrent. ,3.1,3,5.3,5.3,2.5,,5.3,2.4,1.3,3.4,3.5,2.2,2.8,4.3,8.6,2.4,4.5,2.7,4.1,1.7,,,2.8,2,5
2023-08-29,Last beamtime was on 2023-Aug-4. Photocurrent. ,2.1,2.5,5.8,3.5,6.6,6.2,4.8,6,5.7,3.5,5,4.5,3,4.2,4.5,5.4,4.6,3.2,3.4,2.7,,,1.8,3.2,2.2
2023-08-31,Last beamtime was on 2023-Aug-4. Photocurrent. ,2.7,4.1,3.4,5.7,4.8,5.4,2.7,5.8,2.9,3.5,2.1,4.4,6.2,3.1,4.4,2,4.2,2.4,4.8,3.9,,,3.1,2.7,1.6
2023-09-05,Last beamtime was on 2023-Aug-4. Photocurrent. ,4.8,4.8,5.6,3.8,6.2,7.3,3.7,3.3,4.9,2.8,3.5,3.3,5.2,1.8,4.1,1.1,5.7,4.3,3.8,2.7,,,4.2,4,4.4
2023-09-07,Last beamtime was on 2023-Aug-4. Photocurrent. ,3.8,2.9,3.3,4.4,4.1,7.7,6.1,1.3,3.9,5.2,4.6,6,3,2.4,5.1,2.3,4.6,4.2,7.1,5.2,,,4.2,4.4,3.1
2023-09-12,Last beamtime was on 2023-Aug-4. Photocurrent. ,4,7.3,6.5,4.7,5.4,5.4,6.5,3.1,4.8,4.1,5.7,3.3,3.5,6.4,5.1,2.2,3.8,0.9,6.2,4.7,8.4,5,3.2,2.7,5.8
2023-09-14,Last beamtime was on 2023-Aug-4. Photocurrent. ,4.1,4.2,5.9,4.3,8,5.9,2.4,4.3,5.9,3.8,4.7,3.2,3.9,3.7,6.1,7.3,6.4,7.3,6.8,5.1,7.1,4.1,5.3,3.1,4.8
2023-09-19,Last beamtime was on 2023-Aug-4. Photocurrent. ,7.3,4.1,5.7,2.7,7.2,9.4,4.3,4.3,6.9,4.9,1.8,3.9,8.8,9.1,4.8,3.9,6.1,7.1,5.3,4.9,5.8,4.2,4.3,4.5,2.4
2023-09-21,Last beamtime was on 2023-Aug-4. Photocurrent. ,5.1,4.9,3.9,4.8,4.6,3.9,7.5,3.8,4.7,1.8,3.6,5.5,7.3,3,5.6,6.2,7.8,5.5,4.7,6.4,6.8,3.9,3.2,2.6,4.8
2023-10-05,Last beamtime was on 2023-Aug-4. Photocurrent. ,4.3,5.2,6.3,4.2,6.2,5.4,7.4,7.9,6.4,4.4,7.3,6,5.5,4.7,48,7.7,4.2,6.8,7.1,7.1,5.1,4.6,4.4,4.2,6.2
2023-10-12,Last beamtime was on 2023-Aug-4. Photocurrent. ,3.2,4.7,5.7,2.5,6.6,5.8,5.3,5.9,4.7,3.2,2.4,2.5,4.7,5.8,3.9,8.6,4.8,5.4,3.8,3.9,4.4,3.9,3.7,5,2.8
2023-10-17,Last beamtime was on 2023-Aug-4. Photocurrent. ,5.1,5.3,7.7,5.2,6.1,6.6,5.9,7.2,8.1,5.4,6.2,6,5.9,4.4,9.6,3.3,7.1,6.3,8.3,4.3,5.7,3.8,5.3,7.2,4.8
2023-10-19,Modulators were running in the afternoon.,6.2,7.3,5.4,4.2,7.7,9.1,6.8,9.3,4.7,8.3,5.1,7.5,3.8,5.8,5.2,5.1,8,5.1,7.2,6.9,5.4,3.8,5.4,3.2,3.5
2023-10-26,Modultors were running 10/19/2023,6.5,5.2,8.4,5.3,4.8,5.6,6.5,6.1,6.3,7.1,6.1,6.3,6.3,7.2,4.1,4.8,3.4,4.1,5.4,4.1,5.4,4.4,4.7,6.1,5.9
2023-10-30,Beam run on Friday and will be run later today.,9.3,5.4,5.8,6.2,4.1,7.9,7.2,4.6,7.6,7.9,7.1,8.4,11.2,7.8,6.2,5.7,8.3,6.9,7,4.9,7.2,5.8,4.7,5.7,5.3
2023-10-31,Beam was run yesterday,5.7,7.2,5.8,6,6.8,12,6.2,3.6,5.8,4.1,5.6,11,7.6,6.4,4.3,9,9.9,7.8,6.1,3.9,5.6,7.1,5.4,2.8,2.5
2023-11-01,Beam was run yesterday and will be run later today,5.9,2.7,4.2,6.5,5.4,6.8,7.4,10.8,4,5.1,4.3,2.5,3.3,11.2,6.2,7.7,5.6,4.2,6.3,9.8,7.1,5.2,2.1,4.5,5.2
2023-11-02,Beam was run yesterday and will be run later today,5.3,7,4.9,3.3,8.3,8.3,6.4,5.2,6.8,5.4,5.5,4.4,6.8,5.3,4.9,5,2.4,3.5,3.6,5.2,2.7,2.5,7.1,4.7,4.8
2023-11-02,Just following beamtime (3.2 pC),8.9,6.4,245,1260,27.3,22,16.3,13.1,3.6,7.2,6.8,6.6,132.4,580,136,59.8,900,990,97.1,8.5,7.4,6.9,12.1,7.4,13.9
2023-11-06,Last beamtime 11/06/2023,5.1,9.4,6.7,3.6,6.3,7.3,4.6,6.4,5.5,7.8,5.9,5.1,4.8,9.8,6.5,7.7,7,6.4,5.8,3.5,5.2,4.6,5.2,5.4,5.1
2023-11-07,Last beamtime 11/06/2024,4.3,7.5,6.5,5.4,8.1,4.1,4.4,2.4,3.7,7.6,3.4,10.7,4.3,4,2.7,3.3,6.9,7.1,6.3,6,2,4.1,1.1,3.7,3.9
2023-11-13,Last beamtime 11/06/2025,5.1,4.9,3.8,3.4,3.1,6.5,7.6,5.4,6.4,9.2,3.2,5.4,3.1,10.4,4.2,2,4.9,2.2,4.9,5,4.2,4.6,2,2,2.3
2023-11-14,RF was enabled into the accelerating structures yesterday,10.2,,4.1,4.7,5.2,10.1,4.9,9.5,4.8,4.7,7.8,5.7,5.6,5.2,6.2,5.9,3.3,7,3.5,4.5,6.3,6.2,5.1,3.2,2.1
2023-11-16,RF was enable into the structures 11/14/2023,2.8,,4.1,9.8,6.2,9.1,7.8,3.4,5.5,4.8,3.6,7.7,12.7,8.3,6.1,4.7,6.2,5.2,7,3.5,4,1,2.4,1.4,0.9
2023-11-28,RF was enable into the structures 11/14/2024,5.4,,3.4,3.2,5,6.2,2.1,6.2,9.9,4.6,2.4,2.7,2.9,8,6.3,3.4,2.8,5.2,4.6,3.9,2.8,4.6,3.5,3.8,3.3
2023-11-30,RF was enable into the structures 11/14/2025,3.8,5.7,4.3,9.2,3.5,5.3,3.3,2.3,4.5,5.3,4.1,5.1,6.4,11.2,4.2,4.6,3.8,4.9,4.9,3.9,2.3,8.4,3.4,4.2,4.6
2023-12-11,Spike to 530 µR/hr near B. Unable to locate the source. ,6.8,13.1,9.2,12.3,10.4,3.6,11.8,5.1,12.7,6.5,9.9,6.8,6.3,7.4,5.1,7.1,6.5,5.3,6.5,5,4.4,4.7,5.6,4.6,3.5
2023-12-12,RF was enable into the structures 11/14/2025,12.4,6.4,3.7,5.1,2.2,5.2,7.1,11.5,3.8,12.1,2.1,1.1,12.7,4.9,5.8,5.4,5.7,5.9,3.7,5.7,4.7,5.7,3.4,4.8,4.8
2023-12-14,RF was enable into the structures 11/14/2026,9.2,2.7,5.6,3.3,6.8,3.8,5.4,4.4,11.2,9,11.5,5.7,8.8,4.7,6.1,5.6,3.5,7.9,5.2,2.8,4.3,4.4,2.9,3.2,5.1
2023-12-19,RF was enable into the structures 11/14/2027,9.2,2.5,4.9,9.4,3.2,4.1,8.3,12.9,10.4,10.1,6.2,9,4,2.4,6.8,6.9,4.3,7.8,4.9,2.8,3.9,4.1,4.4,3.3,3.2
2023-12-21,Beamtime Tue/Wed to characterize Hutch-1 radiation.,6.8,6.3,6.4,4.7,5.2,9.3,9.4,10.1,5.8,13.1,8.2,5.2,11.8,10,6.3,5.9,3.1,5.2,3.8,6.7,4.6,4.5,7.5,5.2,4.5
2024-01-05,Short beamtime on 01/04/2024,9.6,3.6,11.1,7.8,12.4,12.5,13.1,5.7,7.1,6.9,13.8,5.7,6.1,2.4,14.2,5.4,5.7,5.7,4.7,3.1,8.4,5.1,2.8,2.7,5.2
2024-01-10,Last beamtime on 01/04/2024,9.7,2.1,7.4,4.8,13.4,15.3,14.1,4.9,4.2,5.7,5.8,3.8,5.7,4.3,2.8,6.6,6.3,2.8,2.7,4.1,7.9,5.1,4.4,5.1,5.4
2024-01-23,Last beamtime on 01/04/2025,10.1,6,6.3,4.2,6.2,5.3,4.3,7.89,3.3,10.1,7.9,3.1,3.2,6.4,4.5,7.3,4.9,3.6,6.3,4.5,2.8,6.1,2.7,4.9,2.4
2024-01-25,Last beamtime on 01/04/2026,8.1,2.8,6.7,11.2,4.5,7.4,4.3,10.3,4.5,5.7,12.2,8.8,4.6,5.7,4.6,7.6,2.9,2.8,3.7,3.8,4.8,2.1,2.7,3.1,5
2024-01-30,Last beamtime on 01/04/2027,4.4,5.3,3.8,8.4,6.2,2.7,8.5,4.4,5.3,12.3,6.2,6.8,5.1,5.4,6.3,4.2,2.7,2.3,6.9,5.8,4.4,2.7,3.8,4.6,4.1
2024-02-01,Last beamtime on 01/04/2028,9.7,3.1,4.9,4.3,6.1,6.7,13.5,10.9,7.4,9.7,6,7.6,3.4,4.9,3.1,1.8,5.9,2.5,3.4,4.2,4.8,2.6,3.7,5.7,4
2024-02-08,Last beamtime on 01/04/2029,6.3,9.6,6.1,4.6,5.9,4.4,9.8,11.2,11.7,4.4,8.1,8.8,4.5,5.9,3.7,7.4,4.6,4.4,3.2,4.4,5.4,4.3,2.7,9.1,8.4
2024-02-13,Last beamtime on 01/04/2030,9.8,3.1,6.4,7.8,6.3,6.8,6.1,5.4,4.3,3.4,2.8,7.6,4.3,2.5,4.3,9.6,2.1,4.9,7.4,3.2,4.7,56.9,3.1,0.9,2.4
2024-02-15,Last beamtime on 01/04/2031,10.9,4.4,10.1,8.3,3.7,9.8,7.4,5.3,3.9,8.1,11.2,7.4,5.3,3.9,2.9,3.3,7.5,6.3,6.4,4.3,4.2,5.2,7.2,4.6,4.3
2024-02-20,Last beamtime on 01/04/2032,11.1,3.5,4.7,6.8,731,6.5,12,11.4,6.1,4.9,9.2,3.3,6.4,4.7,2.7,3.5,2.8,9.3,4.5,6.3,4.3,4.6,4,3.6,2.9
2024-02-22,Last beamtime on 2/21/2024,9.2,9.5,4.5,7.6,6.4,8.2,3.1,5.4,1.8,3.8,5.4,8.8,5.5,5.6,3.7,2.1,4.9,4.4,2.8,4.5,3.3,4.1,1.6,1.6,3.4
2024-02-27,Last beamtime on 2/21/2024,8.1,6.5,8.7,5.2,5.5,2.3,5.5,3.4,5.8,2.5,4.1,6.4,4.3,11.2,5.7,1.1,4,4.2,5.9,5.6,4.3,4.9,5.6,5.1,4.4
